text,is_scam,asks_payment,impersonation,urgency,reward_scam
Your SBI account blocked. Pay Rs 2500 via raj@okaxis now,1,1,1,1,0
Lunch at 2pm?,0,0,0,0,0
Lunch at 2pm?,0,0,0,0,0
Please send notes,0,0,0,0,0
Project submission extended,0,0,0,0,0
You won lottery of Rs 2500! claim now,1,0,0,1,1
Refund approved share bank account 123456789012,1,1,0,0,0
Happy birthday!,0,0,0,0,0
You won lottery of Rs 1000! claim now,1,0,0,1,1
Happy birthday!,0,0,0,0,0
Electricity bill pending pay using help@ybl,1,1,0,1,0
Meeting tomorrow at college,0,0,0,0,0
Refund approved share bank account 123456789012,1,1,0,0,0
Your SBI account blocked. Pay Rs 5000 via raj@okaxis now,1,1,1,1,0
I am from bank support verify account urgently,1,0,1,1,0
Happy birthday!,0,0,0,0,0
Refund approved share bank account 123456789012,1,1,0,0,0
Refund approved share bank account 123456789012,1,1,0,0,0
Lunch at 2pm?,0,0,0,0,0
Electricity bill pending pay using help@ybl,1,1,0,1,0
You won lottery of Rs 2500! claim now,1,0,0,1,1
Project submission extended,0,0,0,0,0
Assignment deadline updated,0,0,0,0,0
Please send notes,0,0,0,0,0
Project submission extended,0,0,0,0,0
KYC expired update immediately at http://verify-now.co,1,0,1,1,0
Crypto investment doubles money fast,1,1,0,0,1
Meeting tomorrow at college,0,0,0,0,0
Please send notes,0,0,0,0,0
I am from bank support verify account urgently,1,0,1,1,0
Meeting tomorrow at college,0,0,0,0,0
Assignment deadline updated,0,0,0,0,0
Please send notes,0,0,0,0,0
KYC expired update immediately at http://verify-now.co,1,0,1,1,0
Electricity bill pending pay using help@ybl,1,1,0,1,0
Lunch at 2pm?,0,0,0,0,0
Refund approved share bank account 123456789012,1,1,0,0,0
I am from bank support verify account urgently,1,0,1,1,0
KYC expired update immediately at http://verify-now.co,1,0,1,1,0
Lunch at 2pm?,0,0,0,0,0
Happy birthday!,0,0,0,0,0
KYC expired update immediately at http://verify-now.co,1,0,1,1,0
Meeting tomorrow at college,0,0,0,0,0
Refund approved share bank account 123456789012,1,1,0,0,0
I am from bank support verify account urgently,1,0,1,1,0
Meeting tomorrow at college,0,0,0,0,0
KYC expired update immediately at http://verify-now.co,1,0,1,1,0
You won lottery of Rs 1000! claim now,1,0,0,1,1
Meeting tomorrow at college,0,0,0,0,0
Project submission extended,0,0,0,0,0
Meeting tomorrow at college,0,0,0,0,0
Meeting tomorrow at college,0,0,0,0,0
Assignment deadline updated,0,0,0,0,0
Meeting tomorrow at college,0,0,0,0,0
You won lottery of Rs 1000! claim now,1,0,0,1,1
Meeting tomorrow at college,0,0,0,0,0
Electricity bill pending pay using help@ybl,1,1,0,1,0
I am from bank support verify account urgently,1,0,1,1,0
Electricity bill pending pay using help@ybl,1,1,0,1,0
Your SBI account blocked. Pay Rs 1000 via raj@okaxis now,1,1,1,1,0
I am from bank support verify account urgently,1,0,1,1,0
You won lottery of Rs 2500! claim now,1,0,0,1,1
I am from bank support verify account urgently,1,0,1,1,0
Happy birthday!,0,0,0,0,0
Electricity bill pending pay using help@ybl,1,1,0,1,0
Your SBI account blocked. Pay Rs 2500 via help@ybl now,1,1,1,1,0
Project submission extended,0,0,0,0,0
Lunch at 2pm?,0,0,0,0,0
Your SBI account blocked. Pay Rs 5000 via help@ybl now,1,1,1,1,0
Happy birthday!,0,0,0,0,0
Lunch at 2pm?,0,0,0,0,0
Refund approved share bank account 123456789012,1,1,0,0,0
KYC expired update immediately at http://verify-now.co,1,0,1,1,0
Meeting tomorrow at college,0,0,0,0,0
Meeting tomorrow at college,0,0,0,0,0
KYC expired update immediately at http://verify-now.co,1,0,1,1,0
Your SBI account blocked. Pay Rs 5000 via raj@okaxis now,1,1,1,1,0
Your SBI account blocked. Pay Rs 5000 via help@ybl now,1,1,1,1,0
I am from bank support verify account urgently,1,0,1,1,0
Please send notes,0,0,0,0,0
I am from bank support verify account urgently,1,0,1,1,0
I am from bank support verify account urgently,1,0,1,1,0
Meeting tomorrow at college,0,0,0,0,0
Please send notes,0,0,0,0,0
KYC expired update immediately at http://verify-now.co,1,0,1,1,0
Meeting tomorrow at college,0,0,0,0,0
Crypto investment doubles money fast,1,1,0,0,1
Electricity bill pending pay using raj@okaxis,1,1,0,1,0
KYC expired update immediately at http://verify-now.co,1,0,1,1,0
Project submission extended,0,0,0,0,0
KYC expired update immediately at http://verify-now.co,1,0,1,1,0
Meeting tomorrow at college,0,0,0,0,0
Please send notes,0,0,0,0,0
Refund approved share bank account 123456789012,1,1,0,0,0
Refund approved share bank account 123456789012,1,1,0,0,0
Lunch at 2pm?,0,0,0,0,0
I am from bank support verify account urgently,1,0,1,1,0
Project submission extended,0,0,0,0,0
I am from bank support verify account urgently,1,0,1,1,0
Crypto investment doubles money fast,1,1,0,0,1
I am from bank support verify account urgently,1,0,1,1,0
Crypto investment doubles money fast,1,1,0,0,1
Happy birthday!,0,0,0,0,0
Meeting tomorrow at college,0,0,0,0,0
You won lottery of Rs 2500! claim now,1,0,0,1,1
Please send notes,0,0,0,0,0
Project submission extended,0,0,0,0,0
Refund approved share bank account 123456789012,1,1,0,0,0
KYC expired update immediately at http://verify-now.co,1,0,1,1,0
Assignment deadline updated,0,0,0,0,0
Refund approved share bank account 123456789012,1,1,0,0,0
You won lottery of Rs 1000! claim now,1,0,0,1,1
Refund approved share bank account 123456789012,1,1,0,0,0
Crypto investment doubles money fast,1,1,0,0,1
Happy birthday!,0,0,0,0,0
KYC expired update immediately at http://verify-now.co,1,0,1,1,0
Crypto investment doubles money fast,1,1,0,0,1
I am from bank support verify account urgently,1,0,1,1,0
KYC expired update immediately at http://verify-now.co,1,0,1,1,0
Electricity bill pending pay using raj@okaxis,1,1,0,1,0
Your SBI account blocked. Pay Rs 5000 via raj@okaxis now,1,1,1,1,0
I am from bank support verify account urgently,1,0,1,1,0
Happy birthday!,0,0,0,0,0
Electricity bill pending pay using raj@okaxis,1,1,0,1,0
Please send notes,0,0,0,0,0
KYC expired update immediately at http://verify-now.co,1,0,1,1,0
Project submission extended,0,0,0,0,0
KYC expired update immediately at http://verify-now.co,1,0,1,1,0
Refund approved share bank account 123456789012,1,1,0,0,0
Electricity bill pending pay using help@ybl,1,1,0,1,0
KYC expired update immediately at http://verify-now.co,1,0,1,1,0
Your SBI account blocked. Pay Rs 1000 via raj@okaxis now,1,1,1,1,0
KYC expired update immediately at http://verify-now.co,1,0,1,1,0
Refund approved share bank account 123456789012,1,1,0,0,0
Your SBI account blocked. Pay Rs 1000 via raj@okaxis now,1,1,1,1,0
Meeting tomorrow at college,0,0,0,0,0
Crypto investment doubles money fast,1,1,0,0,1
Please send notes,0,0,0,0,0
Lunch at 2pm?,0,0,0,0,0
KYC expired update immediately at http://verify-now.co,1,0,1,1,0
Project submission extended,0,0,0,0,0
Your SBI account blocked. Pay Rs 5000 via help@ybl now,1,1,1,1,0
Crypto investment doubles money fast,1,1,0,0,1
Lunch at 2pm?,0,0,0,0,0
Electricity bill pending pay using raj@okaxis,1,1,0,1,0
Your SBI account blocked. Pay Rs 5000 via help@ybl now,1,1,1,1,0
You won lottery of Rs 5000! claim now,1,0,0,1,1
Happy birthday!,0,0,0,0,0
Meeting tomorrow at college,0,0,0,0,0
Project submission extended,0,0,0,0,0
Happy birthday!,0,0,0,0,0
Refund approved share bank account 123456789012,1,1,0,0,0
Assignment deadline updated,0,0,0,0,0
I am from bank support verify account urgently,1,0,1,1,0
Electricity bill pending pay using help@ybl,1,1,0,1,0
Your SBI account blocked. Pay Rs 1000 via help@ybl now,1,1,1,1,0
Refund approved share bank account 123456789012,1,1,0,0,0
Happy birthday!,0,0,0,0,0
I am from bank support verify account urgently,1,0,1,1,0
Crypto investment doubles money fast,1,1,0,0,1
Please send notes,0,0,0,0,0
Please send notes,0,0,0,0,0
Your SBI account blocked. Pay Rs 5000 via help@ybl now,1,1,1,1,0
Your SBI account blocked. Pay Rs 2500 via raj@okaxis now,1,1,1,1,0
Electricity bill pending pay using raj@okaxis,1,1,0,1,0
Project submission extended,0,0,0,0,0
I am from bank support verify account urgently,1,0,1,1,0
Your SBI account blocked. Pay Rs 1000 via help@ybl now,1,1,1,1,0
Your SBI account blocked. Pay Rs 2500 via raj@okaxis now,1,1,1,1,0
Assignment deadline updated,0,0,0,0,0
Your SBI account blocked. Pay Rs 2500 via raj@okaxis now,1,1,1,1,0
KYC expired update immediately at http://verify-now.co,1,0,1,1,0
Electricity bill pending pay using raj@okaxis,1,1,0,1,0
Electricity bill pending pay using help@ybl,1,1,0,1,0
Lunch at 2pm?,0,0,0,0,0
Refund approved share bank account 123456789012,1,1,0,0,0
Lunch at 2pm?,0,0,0,0,0
Crypto investment doubles money fast,1,1,0,0,1
KYC expired update immediately at http://verify-now.co,1,0,1,1,0
I am from bank support verify account urgently,1,0,1,1,0
I am from bank support verify account urgently,1,0,1,1,0
Project submission extended,0,0,0,0,0
KYC expired update immediately at http://verify-now.co,1,0,1,1,0
You won lottery of Rs 1000! claim now,1,0,0,1,1
Please send notes,0,0,0,0,0
Refund approved share bank account 123456789012,1,1,0,0,0
Lunch at 2pm?,0,0,0,0,0
Crypto investment doubles money fast,1,1,0,0,1
You won lottery of Rs 5000! claim now,1,0,0,1,1
Refund approved share bank account 123456789012,1,1,0,0,0
Happy birthday!,0,0,0,0,0
KYC expired update immediately at http://verify-now.co,1,0,1,1,0
I am from bank support verify account urgently,1,0,1,1,0
Assignment deadline updated,0,0,0,0,0
You won lottery of Rs 5000! claim now,1,0,0,1,1
Refund approved share bank account 123456789012,1,1,0,0,0
Meeting tomorrow at college,0,0,0,0,0
Crypto investment doubles money fast,1,1,0,0,1
Lunch at 2pm?,0,0,0,0,0
Project submission extended,0,0,0,0,0
Your SBI account blocked. Pay Rs 1000 via raj@okaxis now,1,1,1,1,0
Refund approved share bank account 123456789012,1,1,0,0,0
Project submission extended,0,0,0,0,0
You won lottery of Rs 1000! claim now,1,0,0,1,1
Assignment deadline updated,0,0,0,0,0
Refund approved share bank account 123456789012,1,1,0,0,0
I am from bank support verify account urgently,1,0,1,1,0
KYC expired update immediately at http://verify-now.co,1,0,1,1,0
You won lottery of Rs 5000! claim now,1,0,0,1,1
Refund approved share bank account 123456789012,1,1,0,0,0
I am from bank support verify account urgently,1,0,1,1,0
Crypto investment doubles money fast,1,1,0,0,1
Lunch at 2pm?,0,0,0,0,0
Please send notes,0,0,0,0,0
Meeting tomorrow at college,0,0,0,0,0
Electricity bill pending pay using raj@okaxis,1,1,0,1,0
Refund approved share bank account 123456789012,1,1,0,0,0
Project submission extended,0,0,0,0,0
You won lottery of Rs 5000! claim now,1,0,0,1,1
Your SBI account blocked. Pay Rs 5000 via help@ybl now,1,1,1,1,0
Your SBI account blocked. Pay Rs 1000 via raj@okaxis now,1,1,1,1,0
Project submission extended,0,0,0,0,0
Refund approved share bank account 123456789012,1,1,0,0,0
Project submission extended,0,0,0,0,0
Assignment deadline updated,0,0,0,0,0
Please send notes,0,0,0,0,0
Meeting tomorrow at college,0,0,0,0,0
KYC expired update immediately at http://verify-now.co,1,0,1,1,0
You won lottery of Rs 5000! claim now,1,0,0,1,1
Crypto investment doubles money fast,1,1,0,0,1
KYC expired update immediately at http://verify-now.co,1,0,1,1,0
Refund approved share bank account 123456789012,1,1,0,0,0
KYC expired update immediately at http://verify-now.co,1,0,1,1,0
Please send notes,0,0,0,0,0
Please send notes,0,0,0,0,0
Electricity bill pending pay using raj@okaxis,1,1,0,1,0
Electricity bill pending pay using help@ybl,1,1,0,1,0
Project submission extended,0,0,0,0,0
Please send notes,0,0,0,0,0
Project submission extended,0,0,0,0,0
Meeting tomorrow at college,0,0,0,0,0
Refund approved share bank account 123456789012,1,1,0,0,0
Your SBI account blocked. Pay Rs 5000 via raj@okaxis now,1,1,1,1,0
KYC expired update immediately at http://verify-now.co,1,0,1,1,0
You won lottery of Rs 5000! claim now,1,0,0,1,1
Your SBI account blocked. Pay Rs 2500 via raj@okaxis now,1,1,1,1,0
Project submission extended,0,0,0,0,0
Meeting tomorrow at college,0,0,0,0,0
Electricity bill pending pay using raj@okaxis,1,1,0,1,0
You won lottery of Rs 5000! claim now,1,0,0,1,1
Your SBI account blocked. Pay Rs 1000 via raj@okaxis now,1,1,1,1,0
Project submission extended,0,0,0,0,0
Happy birthday!,0,0,0,0,0
Refund approved share bank account 123456789012,1,1,0,0,0
Project submission extended,0,0,0,0,0
Happy birthday!,0,0,0,0,0
I am from bank support verify account urgently,1,0,1,1,0
Crypto investment doubles money fast,1,1,0,0,1
Your SBI account blocked. Pay Rs 1000 via help@ybl now,1,1,1,1,0
Your SBI account blocked. Pay Rs 1000 via raj@okaxis now,1,1,1,1,0
Meeting tomorrow at college,0,0,0,0,0
Your SBI account blocked. Pay Rs 2500 via raj@okaxis now,1,1,1,1,0
Assignment deadline updated,0,0,0,0,0
Crypto investment doubles money fast,1,1,0,0,1
Please send notes,0,0,0,0,0
Crypto investment doubles money fast,1,1,0,0,1
Your SBI account blocked. Pay Rs 2500 via raj@okaxis now,1,1,1,1,0
Happy birthday!,0,0,0,0,0
Happy birthday!,0,0,0,0,0
Lunch at 2pm?,0,0,0,0,0
I am from bank support verify account urgently,1,0,1,1,0
Electricity bill pending pay using help@ybl,1,1,0,1,0
Happy birthday!,0,0,0,0,0
KYC expired update immediately at http://verify-now.co,1,0,1,1,0
I am from bank support verify account urgently,1,0,1,1,0
Please send notes,0,0,0,0,0
Lunch at 2pm?,0,0,0,0,0
Refund approved share bank account 123456789012,1,1,0,0,0
Crypto investment doubles money fast,1,1,0,0,1
Meeting tomorrow at college,0,0,0,0,0
Please send notes,0,0,0,0,0
KYC expired update immediately at http://verify-now.co,1,0,1,1,0
Crypto investment doubles money fast,1,1,0,0,1
Crypto investment doubles money fast,1,1,0,0,1
Project submission extended,0,0,0,0,0
You won lottery of Rs 2500! claim now,1,0,0,1,1
Please send notes,0,0,0,0,0
Assignment deadline updated,0,0,0,0,0
KYC expired update immediately at http://verify-now.co,1,0,1,1,0
Refund approved share bank account 123456789012,1,1,0,0,0
KYC expired update immediately at http://verify-now.co,1,0,1,1,0
Please send notes,0,0,0,0,0
Lunch at 2pm?,0,0,0,0,0
Lunch at 2pm?,0,0,0,0,0
Happy birthday!,0,0,0,0,0
Assignment deadline updated,0,0,0,0,0
Please send notes,0,0,0,0,0
Your SBI account blocked. Pay Rs 1000 via help@ybl now,1,1,1,1,0
Meeting tomorrow at college,0,0,0,0,0
Refund approved share bank account 123456789012,1,1,0,0,0
KYC expired update immediately at http://verify-now.co,1,0,1,1,0
Project submission extended,0,0,0,0,0
You won lottery of Rs 5000! claim now,1,0,0,1,1
Please send notes,0,0,0,0,0
I am from bank support verify account urgently,1,0,1,1,0
Happy birthday!,0,0,0,0,0
KYC expired update immediately at http://verify-now.co,1,0,1,1,0
Project submission extended,0,0,0,0,0
Electricity bill pending pay using help@ybl,1,1,0,1,0
Lunch at 2pm?,0,0,0,0,0
Please send notes,0,0,0,0,0
I am from bank support verify account urgently,1,0,1,1,0
Crypto investment doubles money fast,1,1,0,0,1
Crypto investment doubles money fast,1,1,0,0,1
Crypto investment doubles money fast,1,1,0,0,1
Meeting tomorrow at college,0,0,0,0,0
Assignment deadline updated,0,0,0,0,0
Please send notes,0,0,0,0,0
Happy birthday!,0,0,0,0,0
KYC expired update immediately at http://verify-now.co,1,0,1,1,0
Electricity bill pending pay using raj@okaxis,1,1,0,1,0
KYC expired update immediately at http://verify-now.co,1,0,1,1,0
Lunch at 2pm?,0,0,0,0,0
You won lottery of Rs 2500! claim now,1,0,0,1,1
Refund approved share bank account 123456789012,1,1,0,0,0
Lunch at 2pm?,0,0,0,0,0
Project submission extended,0,0,0,0,0
Meeting tomorrow at college,0,0,0,0,0
Happy birthday!,0,0,0,0,0
Electricity bill pending pay using help@ybl,1,1,0,1,0
Refund approved share bank account 123456789012,1,1,0,0,0
I am from bank support verify account urgently,1,0,1,1,0
Lunch at 2pm?,0,0,0,0,0
Please send notes,0,0,0,0,0
You won lottery of Rs 2500! claim now,1,0,0,1,1
You won lottery of Rs 2500! claim now,1,0,0,1,1
You won lottery of Rs 5000! claim now,1,0,0,1,1
Crypto investment doubles money fast,1,1,0,0,1
Your SBI account blocked. Pay Rs 1000 via help@ybl now,1,1,1,1,0
Project submission extended,0,0,0,0,0
Crypto investment doubles money fast,1,1,0,0,1
Happy birthday!,0,0,0,0,0
Happy birthday!,0,0,0,0,0
You won lottery of Rs 2500! claim now,1,0,0,1,1
Meeting tomorrow at college,0,0,0,0,0
Please send notes,0,0,0,0,0
Lunch at 2pm?,0,0,0,0,0
Project submission extended,0,0,0,0,0
Happy birthday!,0,0,0,0,0
You won lottery of Rs 5000! claim now,1,0,0,1,1
Electricity bill pending pay using raj@okaxis,1,1,0,1,0
Happy birthday!,0,0,0,0,0
Crypto investment doubles money fast,1,1,0,0,1
Meeting tomorrow at college,0,0,0,0,0
Project submission extended,0,0,0,0,0
Meeting tomorrow at college,0,0,0,0,0
Please send notes,0,0,0,0,0
Assignment deadline updated,0,0,0,0,0
I am from bank support verify account urgently,1,0,1,1,0
Assignment deadline updated,0,0,0,0,0
Electricity bill pending pay using raj@okaxis,1,1,0,1,0
Crypto investment doubles money fast,1,1,0,0,1
Your SBI account blocked. Pay Rs 5000 via raj@okaxis now,1,1,1,1,0
Happy birthday!,0,0,0,0,0
KYC expired update immediately at http://verify-now.co,1,0,1,1,0
Happy birthday!,0,0,0,0,0
KYC expired update immediately at http://verify-now.co,1,0,1,1,0
Please send notes,0,0,0,0,0
KYC expired update immediately at http://verify-now.co,1,0,1,1,0
Refund approved share bank account 123456789012,1,1,0,0,0
Electricity bill pending pay using help@ybl,1,1,0,1,0
Crypto investment doubles money fast,1,1,0,0,1
Lunch at 2pm?,0,0,0,0,0
KYC expired update immediately at http://verify-now.co,1,0,1,1,0
Happy birthday!,0,0,0,0,0
Electricity bill pending pay using help@ybl,1,1,0,1,0
Lunch at 2pm?,0,0,0,0,0
Crypto investment doubles money fast,1,1,0,0,1
Happy birthday!,0,0,0,0,0
Please send notes,0,0,0,0,0
Project submission extended,0,0,0,0,0
Meeting tomorrow at college,0,0,0,0,0
I am from bank support verify account urgently,1,0,1,1,0
Electricity bill pending pay using help@ybl,1,1,0,1,0
Happy birthday!,0,0,0,0,0
You won lottery of Rs 2500! claim now,1,0,0,1,1
KYC expired update immediately at http://verify-now.co,1,0,1,1,0
Please send notes,0,0,0,0,0
Lunch at 2pm?,0,0,0,0,0
Lunch at 2pm?,0,0,0,0,0
Happy birthday!,0,0,0,0,0
Project submission extended,0,0,0,0,0
Project submission extended,0,0,0,0,0
Happy birthday!,0,0,0,0,0
Electricity bill pending pay using help@ybl,1,1,0,1,0
Crypto investment doubles money fast,1,1,0,0,1
Please send notes,0,0,0,0,0
Please send notes,0,0,0,0,0
Lunch at 2pm?,0,0,0,0,0
Happy birthday!,0,0,0,0,0
Refund approved share bank account 123456789012,1,1,0,0,0
Refund approved share bank account 123456789012,1,1,0,0,0
Refund approved share bank account 123456789012,1,1,0,0,0
Happy birthday!,0,0,0,0,0
Meeting tomorrow at college,0,0,0,0,0
Your SBI account blocked. Pay Rs 5000 via help@ybl now,1,1,1,1,0
Please send notes,0,0,0,0,0
Refund approved share bank account 123456789012,1,1,0,0,0
You won lottery of Rs 5000! claim now,1,0,0,1,1
Refund approved share bank account 123456789012,1,1,0,0,0
KYC expired update immediately at http://verify-now.co,1,0,1,1,0
I am from bank support verify account urgently,1,0,1,1,0
Meeting tomorrow at college,0,0,0,0,0
Electricity bill pending pay using help@ybl,1,1,0,1,0
Assignment deadline updated,0,0,0,0,0
I am from bank support verify account urgently,1,0,1,1,0
Please send notes,0,0,0,0,0
You won lottery of Rs 5000! claim now,1,0,0,1,1
Please send notes,0,0,0,0,0
Please send notes,0,0,0,0,0
Happy birthday!,0,0,0,0,0
Assignment deadline updated,0,0,0,0,0
Happy birthday!,0,0,0,0,0
Happy birthday!,0,0,0,0,0
Refund approved share bank account 123456789012,1,1,0,0,0
Please send notes,0,0,0,0,0
Refund approved share bank account 123456789012,1,1,0,0,0
Electricity bill pending pay using help@ybl,1,1,0,1,0
Electricity bill pending pay using raj@okaxis,1,1,0,1,0
Electricity bill pending pay using help@ybl,1,1,0,1,0
I am from bank support verify account urgently,1,0,1,1,0
Please send notes,0,0,0,0,0
Electricity bill pending pay using help@ybl,1,1,0,1,0
You won lottery of Rs 2500! claim now,1,0,0,1,1
Meeting tomorrow at college,0,0,0,0,0
Meeting tomorrow at college,0,0,0,0,0
Crypto investment doubles money fast,1,1,0,0,1
I am from bank support verify account urgently,1,0,1,1,0
Refund approved share bank account 123456789012,1,1,0,0,0
Refund approved share bank account 123456789012,1,1,0,0,0
Your SBI account blocked. Pay Rs 1000 via raj@okaxis now,1,1,1,1,0
I am from bank support verify account urgently,1,0,1,1,0
Crypto investment doubles money fast,1,1,0,0,1
I am from bank support verify account urgently,1,0,1,1,0
Refund approved share bank account 123456789012,1,1,0,0,0
Project submission extended,0,0,0,0,0
Assignment deadline updated,0,0,0,0,0
I am from bank support verify account urgently,1,0,1,1,0
I am from bank support verify account urgently,1,0,1,1,0
I am from bank support verify account urgently,1,0,1,1,0
Project submission extended,0,0,0,0,0
Lunch at 2pm?,0,0,0,0,0
Project submission extended,0,0,0,0,0
Refund approved share bank account 123456789012,1,1,0,0,0
Lunch at 2pm?,0,0,0,0,0
Refund approved share bank account 123456789012,1,1,0,0,0
Meeting tomorrow at college,0,0,0,0,0
Electricity bill pending pay using raj@okaxis,1,1,0,1,0
Refund approved share bank account 123456789012,1,1,0,0,0
Please send notes,0,0,0,0,0
Happy birthday!,0,0,0,0,0
Lunch at 2pm?,0,0,0,0,0
Meeting tomorrow at college,0,0,0,0,0
Refund approved share bank account 123456789012,1,1,0,0,0
I am from bank support verify account urgently,1,0,1,1,0
I am from bank support verify account urgently,1,0,1,1,0
